"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
1,0,0,1,1,1,0,1,1,11,0,0.706017,0.424922,0.431399
0,0,0,0,0,1,0,0,1,8,0,0.702879,0.424642,0.426206
1,0,1,0,1,0,0,1,0,9,0,0.725869,0.424164,0.432835
0,0,0,1,0,1,0,1,0,11,0,0.70674,0.423282,0.428887
1,0,0,0,1,1,0,1,1,3,0,0.737201,0.422589,0.427764
1,0,1,0,1,0,1,1,1,9,0,0.737054,0.420757,0.42156
1,0,0,1,1,1,1,1,1,6,0,0.757858,0.420049,0.424117
1,0,0,1,0,0,1,1,0,2,0,0.766611,0.419396,0.419393
0,1,1,0,0,0,0,1,1,7,0,0.749994,0.417524,0.4274
0,0,0,1,0,0,0,1,0,19,0,0.686333,0.416423,0.417811
1,1,0,0,0,0,0,1,0,4,0,0.749158,0.416295,0.416291
0,0,0,0,1,0,1,0,1,18,0,0.703133,0.415875,0.433471
0,0,1,0,0,0,0,0,0,27,0,0.674295,0.414758,0.426373
1,1,0,0,0,0,0,1,1,8,0,0.736337,0.41395,0.416148
0,0,0,0,1,0,0,0,1,21,0,0.64649,0.413507,0.419822
1,0,1,0,0,1,0,0,1,2,0,0.766464,0.412419,0.415476
1,0,0,1,0,1,0,0,0,10,0,0.719756,0.411381,0.415653
1,0,0,1,1,0,0,1,0,11,0,0.700793,0.408525,0.409499
0,0,1,1,0,0,0,0,1,8,0,0.712891,0.408131,0.408131
1,0,1,1,1,1,0,1,1,19,0,0.687876,0.407843,0.408853
0,0,1,1,0,0,1,0,0,5,0,0.77488,0.407131,0.40713
0,0,0,0,0,1,1,0,1,32,0,0.684048,0.406442,0.4148
1,1,0,1,0,1,1,1,1,5,0,0.786801,0.40628,0.40628
0,0,1,0,0,1,1,0,0,9,0,0.755583,0.40495,0.407151
0,0,1,0,1,0,1,0,1,10,0,0.723957,0.402544,0.402543
